CustomerKey	FirstName	LastName	Full_Name	Gender	AddressLine1	DateFirstPurchase	CommuteDistance	Customer_City
11019	Luke	Lal	Luke Lal	Male	7832 Landing Dr	2/12/2013	5-10 Miles	Langley
11020	Jordan	King	Jordan King	Male	7156 Rose Dr.	12/29/2012	1-2 Miles	Metchosin
11021	Destiny	Wilson	Destiny Wilson	Female	8148 W. Lake Dr.	1/23/2013	1-2 Miles	Beaverton
11022	Ethan	Zhang	Ethan Zhang	Male	1769 Nicholas Drive	1/20/2013	5-10 Miles	Bellingham
11023	Seth	Edwards	Seth Edwards	Male	4499 Valley Crest	2/17/2013	1-2 Miles	Bellflower
11024	Russell	Xie	Russell Xie	Male	8734 Oxford Place	6/27/2013	5-10 Miles	Concord
11025	Alejandro	Beck	Alejandro Beck	Male	2596 Franklin Canyon Road	1/6/2011	1-2 Miles	Hawthorne
11026	Harold	Sai	Harold Sai	Male	8211 Leeds Ct.	1/23/2011	1-2 Miles	Goulburn
11027	Jessie	Zhao	Jessie Zhao	Male	213 Valencia Place	1/16/2011	5-10 Miles	Warrnambool
11028	Jill	Jimenez	Jill Jimenez	Female	9111 Rose Ann Ave	1/26/2011	1-2 Miles	St. Leonards
11029	Jimmy	Moreno	Jimmy Moreno	Male	6385 Mark Twain	1/19/2011	1-2 Miles	Bendigo
11030	Bethany	Yuan	Bethany Yuan	Female	636 Vine Hill Way	2/5/2011	1-2 Miles	Cloverdale
11031	Theresa	Ramos	Theresa Ramos	Female	6465 Detroit Ave.	2/1/2011	1-2 Miles	Matraville
11032	Denise	Stone	Denise Stone	Female	626 Bentley Street	2/18/2011	1-2 Miles	Melbourne
11033	Jaime	Nath	Jaime Nath	Male	5927 Rainbow Dr	2/15/2011	5-10 Miles	Milsons Point
11034	Ebony	Gonzalez	Ebony Gonzalez	Female	5167 Condor Place	2/1/2011	5-10 Miles	North Sydney
11035	Wendy	Dominguez	Wendy Dominguez	Female	1873 Mt. Whitney Dr	2/6/2011	1-2 Miles	Cranbourne
11036	Jennifer	Russell	Jennifer Russell	Female	3981 Augustine Drive	1/22/2013	1-2 Miles	National City
11037	Chloe	Garcia	Chloe Garcia	Female	8915 Woodside Way	1/20/2013	5-10 Miles	Cliffside
11038	Diana	Hernandez	Diana Hernandez	Female	8357 Sandy Cove Lane	2/7/2011	5-10 Miles	Lavender Bay
11039	Marc	Martin	Marc Martin	Male	9353 Creekside Dr.	2/7/2011	5-10 Miles	Wollongong
11040	Jesse	Murphy	Jesse Murphy	Male	3350 Kingswood Circle	4/3/2013	1-2 Miles	Tacoma
11041	Amanda	Carter	Amanda Carter	Female	5826 Escobar	1/14/2013	1-2 Miles	Glendale
11042	Megan	Sanchez	Megan Sanchez	Female	1397 Paraiso Ct.	1/21/2013	0-1 Miles	Los Angeles
11043	Nathan	Simmons	Nathan Simmons	Male	1170 Shaw Rd	5/8/2013	5-10 Miles	Glendale
11044	Adam	Flores	Adam Flores	Male	6935 Candle Dr	2/28/2011	1-2 Miles	Hervey Bay
11045	Leonard	Nara	Leonard Nara	Male	7466 La Vista Ave.	4/10/2013	1-2 Miles	Matraville
11046	Christine	Yuan	Christine Yuan	Female	2356 Orange St	2/6/2011	5-10 Miles	Lavender Bay
11047	Jaclyn	Lu	Jaclyn Lu	Female	2812 Mazatlan	2/3/2011	1-2 Miles	Geelong
11048	Jeremy	Powell	Jeremy Powell	Male	1803 Potomac Dr.	2/10/2011	5-10 Miles	Sunbury
11049	Carol	Rai	Carol Rai	Female	6064 Madrid	3/9/2013	5-10 Miles	Chula Vista
11050	Alan	Zheng	Alan Zheng	Male	2741 Gainborough Dr.	2/20/2011	5-10 Miles	Hobart
11051	Daniel	Johnson	Daniel Johnson	Male	8085 Sunnyvale Avenue	12/29/2013	1-2 Miles	Caloundra
11052	Heidi	Lopez	Heidi Lopez	Female	2514 Via Cordona	2/17/2011	5-10 Miles	Matraville
11053	Ana	Price	Ana Price	Female	1660 Stonyhill Circle	1/17/2013	1-2 Miles	San Diego
11054	Deanna	Munoz	Deanna Munoz	Female	5825 B Way	2/3/2011	5-10 Miles	Geelong
11055	Gilbert	Raje	Gilbert Raje	Male	8811 The Trees Dr.	1/31/2011	5-10 Miles	East Brisbane
11056	Michele	Nath	Michele Nath	Female	5464 Janin Pl.	2/26/2011	5-10 Miles	Newcastle
11057	Carl	Andersen	Carl Andersen	Male	6930 Lake Nadine Place	2/22/2011	1-2 Miles	Lane Cove
11058	Marc	Diaz	Marc Diaz	Male	6645 Sinaloa	3/9/2011	1-2 Miles	Findon
11059	Ashlee	Andersen	Ashlee Andersen	Female	8255 Highland Road	2/18/2013	5-10 Miles	Townsville
11060	Jon	Zhou	Jon Zhou	Male	6574 Hemlock Ave.	3/19/2011	5-10 Miles	Warrnambool
11061	Todd	Gao	Todd Gao	Male	8808 Geneva Ave	3/13/2011	5-10 Miles	Gold Coast
11062	Noah	Powell	Noah Powell	Male	9794 Marion Ct	1/7/2013	5-10 Miles	Portland
11063	Angela	Murphy	Angela Murphy	Female	4927 Virgil Street	1/12/2013	5-10 Miles	Redmond
11064	Chase	Reed	Chase Reed	Male	2721 Alexander Pl.	1/25/2013	5-10 Miles	Downey
11065	Jessica	Henderson	Jessica Henderson	Female	9343 Ironwood Way	2/10/2013	1-2 Miles	La Jolla
11066	Grace	Butler	Grace Butler	Female	4739 Garden Ave.	5/31/2013	5-10 Miles	Lebanon
11067	Caleb	Carter	Caleb Carter	Male	9563 Pennsylvania Blvd.	8/18/2013	5-10 Miles	Port Orchard
11068	Tiffany	Liang	Tiffany Liang	Female	3608 Sinclair Avenue	4/30/2013	5-10 Miles	Warrnambool
11069	Carolyn	Navarro	Carolyn Navarro	Female	4606 Springwood Court	4/17/2011	1-2 Miles	Gold Coast
11070	Willie	Raji	Willie Raji	Male	6260 Vernal Drive	4/28/2011	5-10 Miles	Sunbury
11071	Linda	Serrano	Linda Serrano	Female	9808 Shaw Rd.	3/1/2013	5-10 Miles	Hawthorne
11072	Casey	Luo	Casey Luo	Female	9513 Roslyn Drive	3/31/2011	1-2 Miles	St. Leonards
11073	Amy	Ye	Amy Ye	Female	2262 Kirkwood Ct.	3/23/2013	5-10 Miles	Springwood
11074	Levi	Arun	Levi Arun	Male	4661 Bluetail	3/23/2013	5-10 Miles	Cloverdale
11075	Felicia	Jimenez	Felicia Jimenez	Female	786 Eastgate Ave	4/28/2011	5-10 Miles	Bendigo
11076	Blake	Anderson	Blake Anderson	Male	5436 Clear	4/21/2011	5-10 Miles	Wollongong
11077	Leah	Ye	Leah Ye	Female	1291 Arguello Blvd.	4/15/2011	1-2 Miles	Melton
11078	Gina	Martin	Gina Martin	Female	1349 Sol St.	2/15/2013	1-2 Miles	Cliffside
11079	Donald	Gonzalez	Donald Gonzalez	Male	4236 Malibu Place	3/15/2013	0-1 Miles	Geelong
11080	Damien	Chander	Damien Chander	Male	9941 Stonehedge Dr.	4/10/2011	0-1 Miles	Perth
11081	Savannah	Baker	Savannah Baker	Female	1210 Trafalgar Circle	2/12/2013	2-5 Miles	Concord
11082	Angela	Butler	Angela Butler	Female	6040 Listing Ct	1/22/2013	1-2 Miles	Fremont
11083	Alyssa	Cox	Alyssa Cox	Female	867 La Orinda Place	1/6/2013	1-2 Miles	Lincoln Acres
11084	Lucas	Phillips	Lucas Phillips	Male	8668 St. Celestine Court	1/4/2013	1-2 Miles	Lebanon
11085	Emily	Johnson	Emily Johnson	Female	7926 Stephanie Way	12/6/2013	5-10 Miles	Newport Beach
11086	Ryan	Brown	Ryan Brown	Male	2939 Wesley Ct.	7/2/2013	0-1 Miles	Santa Monica
11087	Tamara	Liang	Tamara Liang	Female	3791 Rossmor Parkway	2/25/2013	0-1 Miles	Chula Vista
11088	Hunter	Davis	Hunter Davis	Male	4308 Sand Pointe Lane	1/13/2013	2-5 Miles	San Diego
11089	Abigail	Price	Abigail Price	Female	2685 Blackburn Ct	12/29/2012	2-5 Miles	Long Beach
11090	Trevor	Bryant	Trevor Bryant	Male	5781 Sharon Dr.	8/7/2011	2-5 Miles	Los Angeles
11091	Dalton	Perez	Dalton Perez	Male	6083 San Jose	1/29/2013	5-10 Miles	Haney
11092	Cheryl	Diaz	Cheryl Diaz	Female	7297 Kaywood Drive	4/8/2011	1-2 Miles	East Brisbane
11093	Aimee	He	Aimee He	Female	1833 Olympic Drive	4/7/2011	0-1 Miles	Wollongong
11094	Cedric	Ma	Cedric Ma	Male	3407 Oak Brook Place	4/7/2013	0-1 Miles	Cranbourne
11095	Chad	Kumar	Chad Kumar	Male	1681 Lighthouse Way	4/1/2011	5-10 Miles	Port Macquarie
11096	Andrés	Anand	Andrés Anand	Male	5423 Los Gatos Ct.	4/11/2011	5-10 Miles	North Sydney
11097	Edwin	Nara	Edwin Nara	Male	719 William Way	4/4/2011	5-10 Miles	Warrnambool
11098	Mallory	Rubio	Mallory Rubio	Female	6452 Harris Circle	2/11/2013	0-1 Miles	Rhodes
11099	Adam	Ross	Adam Ross	Male	4378 Westminster Place	4/7/2011	0-1 Miles	Port Macquarie
11100	Latasha	Navarro	Latasha Navarro	Female	6954 Ranch Road	4/16/2011	5-10 Miles	Cloverdale
11101	Abby	Sai	Abby Sai	Female	7074 N. Spoonwood Court	4/29/2011	0-1 Miles	Cranbourne
11102	Julia	Nelson	Julia Nelson	Female	2196 Coat Ct.	7/16/2013	1-2 Miles	Sydney
11103	Cassie	Chande	Cassie Chande	Female	9448 San Marino Ct.	4/15/2011	5-10 Miles	Darlinghurst
11104	Edgar	Sara	Edgar Sara	Male	6127 Lilly Lane	5/4/2011	0-1 Miles	Gold Coast
11105	Candace	Fernandez	Candace Fernandez	Female	5029 Blue Ridge	5/14/2011	5-10 Miles	Matraville
11106	Jessie	Liu	Jessie Liu	Male	3063 Blue Jay Drive	5/18/2011	5-10 Miles	Warrnambool
11107	Bianca	Lin	Bianca Lin	Female	7530 Eola	5/1/2011	5-10 Miles	St. Leonards
11108	Kari	Alvarez	Kari Alvarez	Female	9178 Thornhill Place	5/3/2011	0-1 Miles	Port Macquarie
11109	Ruben	Kapoor	Ruben Kapoor	Male	1984 Glendale Circle	5/10/2011	0-1 Miles	South Melbourne
11110	Curtis	Yang	Curtis Yang	Male	4052 Mt. Wilson Way	5/1/2011	5-10 Miles	Darlinghurst
11111	Meredith	Gutierrez	Meredith Gutierrez	Female	7610 Northridge Ct.	5/20/2011	0-1 Miles	Geelong
11112	Crystal	Wang	Crystal Wang	Female	2773 Kirkwood Dr	5/25/2011	0-1 Miles	Hervey Bay
11113	Micheal	Blanco	Micheal Blanco	Male	596 Marfargoa Drive	2/1/2013	5-10 Miles	Perth
11114	Leslie	Moreno	Leslie Moreno	Female	7941 Cristobal	3/18/2013	5-10 Miles	Rhodes
11115	Alvin	Cai	Alvin Cai	Male	7759 Azalea Avenue	2/10/2013	0-1 Miles	St. Leonards
11116	Clinton	Carlson	Clinton Carlson	Male	7943 Cunha Ct.	3/15/2013	5-10 Miles	Sydney
11117	April	Deng	April Deng	Female	485 Ash Lane	5/6/2011	10+ Miles	Matraville
11118	Alvin	Zeng	Alvin Zeng	Male	3853 Wildcat Circle	7/10/2013	0-1 Miles	Lavender Bay
11119	Evan	James	Evan James	Male	4157 Sierra Ridge	2/3/2013	0-1 Miles	Port Macquarie
11120	Beth	Jiménez	Beth Jiménez	Female	7401 Las Palmas	5/14/2011	5-10 Miles	Sydney
11121	Orlando	Suarez	Orlando Suarez	Male	7743 Hames Dr	6/24/2013	10+ Miles	Newcastle
11122	Byron	Vazquez	Byron Vazquez	Male	3187 Hackamore Lane	2/21/2013	5-10 Miles	North Sydney
11123	Philip	Alvarez	Philip Alvarez	Male	2775 Mt. Olivet Pl.	4/17/2013	10+ Miles	Sunbury
11124	Ross	Jordan	Ross Jordan	Male	6973 Dublin Court	5/5/2011	5-10 Miles	Warrnambool
11125	Dana	Navarro	Dana Navarro	Female	8481 Zartop Street	1/31/2013	5-10 Miles	Seaford
11126	Shaun	Carson	Shaun Carson	Male	57 Wolf Way	5/28/2011	0-1 Miles	North Ryde
11127	Jan	Edwards	Jan Edwards	Female	9409 The Alameda	4/10/2013	5-10 Miles	San Gabriel
11128	Samantha	Long	Samantha Long	Female	1606 Alderwood Lane	6/19/2013	5-10 Miles	Renton
11129	Julia	Wright	Julia Wright	Female	7397 Central Blvd.	8/6/2011	5-10 Miles	Sedro Woolley
11130	Caroline	Russell	Caroline Russell	Female	3884 Bates Court	12/9/2013	5-10 Miles	Lebanon
11131	Amanda	Rivera	Amanda Rivera	Female	9573 Royal Oak Rd.	10/18/2013	0-1 Miles	Haney
11132	Melissa	Richardson	Melissa Richardson	Female	6832 Fruitwood Dr	4/9/2013	5-10 Miles	Langford
11133	Angela	Griffin	Angela Griffin	Female	3828 Baltic Sea Ct	12/30/2013	0-1 Miles	Lake Oswego
11134	Larry	Townsend	Larry Townsend	Male	7034 Carson	5/3/2011	5-10 Miles	Perth
11135	Marcus	Harris	Marcus Harris	Male	9068 Quiet Place Drive	4/18/2013	5-10 Miles	Burlingame
11136	Brianna	Morgan	Brianna Morgan	Female	9005 Eagle Ct.	1/3/2013	0-1 Miles	Metchosin
11137	Jasmine	Taylor	Jasmine Taylor	Female	2457 Matterhorn Court	7/31/2013	5-10 Miles	Spokane
11138	Lauren	Davis	Lauren Davis	Female	8105 Pembrook Court	9/19/2013	0-1 Miles	Glendale
11139	Tanya	Moreno	Tanya Moreno	Female	6155 Wilbur Drive	9/14/2013	5-10 Miles	Cloverdale
11140	Javier	Alvarez	Javier Alvarez	Male	8935 Etcheverry Dr.	3/19/2013	5-10 Miles	Burbank
11141	Nicole	Ramirez	Nicole Ramirez	Female	1101 C Street	5/16/2013	0-1 Miles	Daly City
11142	Eduardo	Patterson	Eduardo Patterson	Male	6255 Macalvey Dr.	2/13/2013	0-1 Miles	Langford
11143	Jonathan	Henderson	Jonathan Henderson	Male	165 East Lane Road	6/15/2013	5-10 Miles	Lakewood
11144	Edward	Hernandez	Edward Hernandez	Male	7607 Pine Hollow Road	1/25/2013	0-1 Miles	Ballard
11145	Jasmine	Coleman	Jasmine Coleman	Female	1961 Oak Grove Road	1/25/2013	0-1 Miles	Beaverton
11146	Karla	Goel	Karla Goel	Female	3272 Corrie Lane	2/5/2013	5-10 Miles	Matraville
11147	Ernest	Wu	Ernest Wu	Male	1832 RiverRock Dr	5/13/2011	0-1 Miles	Warrnambool
11148	Ross	Vazquez	Ross Vazquez	Male	1201 Paso Del Rio Way	3/7/2013	5-10 Miles	East Brisbane
11149	Theodore	Gill	Theodore Gill	Male	9120 Pinewood Court	6/4/2013	0-1 Miles	Hervey Bay
11150	Russell	Shen	Russell Shen	Male	4755 Easley Drive	3/27/2013	5-10 Miles	Sunbury
11151	Melinda	Gill	Melinda Gill	Female	805 Rainier Dr.	5/15/2011	0-1 Miles	Sydney
11152	James	Williams	James Williams	Male	6827 Seagull Court	1/9/2013	5-10 Miles	Puyallup
11153	Angela	James	Angela James	Female	8877 Weatherly Drive	3/29/2013	5-10 Miles	Renton
11154	Megan	Walker	Megan Walker	Female	6898 Holiday Hills	1/10/2013	5-10 Miles	Woodburn
11155	Hunter	Robinson	Hunter Robinson	Male	8356 Mori Court	1/6/2013	1-2 Miles	Burbank
11156	Maria	Roberts	Maria Roberts	Female	9452 Mariposa Ct.	1/8/2013	1-2 Miles	Lakewood
11157	Hannah	Long	Hannah Long	Female	1832 Preston Ct.	7/24/2013	5-10 Miles	Tacoma
11158	Jason	Wright	Jason Wright	Male	6771 Bundros Court	1/19/2013	5-10 Miles	San Gabriel
11159	Brianna	Hughes	Brianna Hughes	Female	6793 Bonifacio St.	9/8/2013	1-2 Miles	Woodland Hills
11160	Maurice	Tang	Maurice Tang	Male	2886 Chaparral Court	2/21/2013	5-10 Miles	Concord
11161	Emily	Wood	Emily Wood	Female	1562 Black Walnut	6/1/2013	1-2 Miles	Concord
11162	Chase	Cox	Chase Cox	Male	P.O. Box 8070	2/18/2013	5-10 Miles	La Jolla
11163	Gabriel	Wang	Gabriel Wang	Male	8002 Crane Court	5/1/2013	5-10 Miles	Spring Valley
11164	Devin	Brooks	Devin Brooks	Male	4231 Highland Dr.	4/27/2013	1-2 Miles	Torrance
11165	Jocelyn	Alexander	Jocelyn Alexander	Female	3376 Bank Way	5/25/2013	1-2 Miles	Oakland
11166	Ashley	Martinez	Ashley Martinez	Female	6993 Whyte Park Ave.	10/14/2013	0-1 Miles	Olympia
11167	Jasmine	Barnes	Jasmine Barnes	Female	9183 Via Del Sol	1/7/2013	0-1 Miles	Issaquah
11168	David	Rodriguez	David Rodriguez	Male	38 Shangri-la Rd.	1/15/2013	0-1 Miles	Oakland
11169	Bryce	Richardson	Bryce Richardson	Male	1841 Blackwood Drive	5/26/2013	0-1 Miles	Coronado
11170	Carol	Howard	Carol Howard	Female	6281 Edward Ave	8/26/2013	0-1 Miles	Burien
11171	Jonathan	Hill	Jonathan Hill	Male	3731 Chinquapin Ct	8/20/2011	1-2 Miles	Woodland Hills
11172	Gabrielle	Adams	Gabrielle Adams	Female	5621 Arcadia Pl.	5/3/2013	1-2 Miles	Lynnwood
11173	Sarah	Thomas	Sarah Thomas	Female	5636 Mt. Whitney Dr.	3/2/2013	0-1 Miles	W. Linn
11174	Nicholas	Robinson	Nicholas Robinson	Male	1318 Lasalle Street	7/13/2013	2-5 Miles	Los Angeles
11175	Luis	Wang	Luis Wang	Male	6943 Patterson Blvd.	8/28/2011	5-10 Miles	Beverly Hills
11176	Mason	Roberts	Mason Roberts	Male	5753 Megan Dr.	2/2/2013	1-2 Miles	Haney
11177	Jose	Flores	Jose Flores	Male	3991 Rambling Rose Drive	3/29/2013	5-10 Miles	San Diego
11178	Nathan	Johnson	Nathan Johnson	Male	8927 Daylight Place	2/21/2013	1-2 Miles	Lakewood
11179	Molly	Rodriguez	Molly Rodriguez	Female	5556 Riverland Dr.	3/12/2013	5-10 Miles	Beverly Hills
11180	April	Anand	April Anand	Female	3531 Brookview Drive	3/17/2013	0-1 Miles	Chula Vista
11181	Devin	Martin	Devin Martin	Male	1085 Greenbelt Way	5/7/2013	0-1 Miles	Los Angeles
11182	Stephanie	Torres	Stephanie Torres	Female	6968 Mildred Ln.	8/28/2013	10+ Miles	Sedro Woolley
11183	Jasmine	Lee	Jasmine Lee	Female	7502 Contuti Avenue	4/30/2013	10+ Miles	Santa Cruz
11184	Meghan	Hernandez	Meghan Hernandez	Female	5872 L St.	8/10/2013	10+ Miles	Concord
11185	Ashley	Henderson	Ashley Henderson	Female	8834 San Jose Ave.	2/21/2013	10+ Miles	Metchosin
11186	Sarah	Price	Sarah Price	Female	4815 Paraiso Ct.	10/18/2013	10+ Miles	Palo Alto
11187	Jennifer	Cooper	Jennifer Cooper	Female	2429 Longview Road	4/3/2013	10+ Miles	Burien
11188	Catherine	Morris	Catherine Morris	Female	6542 Stonewood Drive	11/1/2013	1-2 Miles	San Gabriel
11189	Lawrence	Blanco	Lawrence Blanco	Male	7502 Contuti Avenue	8/26/2011	10+ Miles	Bellingham
11190	Carson	Bryant	Carson Bryant	Male	2995 Youngsdale Dr.	8/28/2013	10+ Miles	Beverly Hills
11191	Kristi	Perez	Kristi Perez	Female	1769 Lislin Ct	8/11/2011	10+ Miles	Colma
11192	James	Brown	James Brown	Male	673 Old Mountain View Dr.	6/23/2013	2-5 Miles	Seattle
11193	Ian	Gray	Ian Gray	Male	5941 Gill Dr.	2/25/2013	2-5 Miles	Woodburn
11194	Jacqueline	Price	Jacqueline Price	Female	872 Mark Twain Dr	3/13/2013	2-5 Miles	Palo Alto
11195	Megan	Henderson	Megan Henderson	Female	8411 Mt. Olivet Place	4/14/2013	10+ Miles	Renton
11196	Alfredo	Romero	Alfredo Romero	Male	2499 Greendell Pl	3/3/2013	10+ Miles	Beaverton
11197	Andrea	Morris	Andrea Morris	Female	1883 Green View Court	5/2/2013	1-2 Miles	Seattle
11198	Brooke	Sanders	Brooke Sanders	Female	5192 Dumbarton Drive	2/5/2013	10+ Miles	Santa Cruz
11199	Jacqueline	Bennett	Jacqueline Bennett	Female	8948 Chinquapin Court	3/18/2013	10+ Miles	Burlingame
11200	Jason	Griffin	Jason Griffin	Male	7239 Nicholas Drive	2/7/2013	1-2 Miles	Victoria
11201	Amanda	Foster	Amanda Foster	Female	3984 San Francisco	7/1/2013	10+ Miles	Santa Monica
11202	Alexia	Price	Alexia Price	Female	2079 Wellington Ct	9/15/2013	1-2 Miles	Lakewood
11203	Luis	Diaz	Luis Diaz	Male	3682 Diablo View Road	2/20/2013	10+ Miles	Port Hammond
11204	Destiny	Rivera	Destiny Rivera	Female	6965 Appalachian Drive	8/9/2013	2-5 Miles	Beaverton
11205	Abby	Fernandez	Abby Fernandez	Female	8330 Glenside Court	7/27/2013	10+ Miles	Burien
11206	Blake	Flores	Blake Flores	Male	9410 Ferry St.	5/11/2013	10+ Miles	Lynnwood
11207	Danielle	Cox	Danielle Cox	Female	2346 Wren Ave	1/31/2013	10+ Miles	Renton
11208	Maria	Reed	Maria Reed	Female	1413 Bridgeview St	3/4/2013	10+ Miles	Glendale
11209	Allison	Evans	Allison Evans	Female	3515 Sutton Circle	3/25/2013	10+ Miles	Lincoln Acres
11210	Edward	Wood	Edward Wood	Male	1039 Adelaide St.	5/6/2013	10+ Miles	West Covina
11211	Samantha	Russell	Samantha Russell	Female	9256 Village Oaks Dr.	2/1/2013	2-5 Miles	Haney
11212	Chloe	Campbell	Chloe Campbell	Female	3562 East Ave.	1/30/2013	2-5 Miles	Metchosin
11213	Stephanie	Murphy	Stephanie Murphy	Female	5514 Grant Street	3/28/2013	10+ Miles	Edmonds
11214	Charles	Miller	Charles Miller	Male	2719 Little Dr	8/14/2013	10+ Miles	Milwaukie
11215	Ana	Perry	Ana Perry	Female	3114 Arlington Way	2/15/2013	10+ Miles	Royal Oak
11216	Jasmine	Torres	Jasmine Torres	Female	8328 San Francisco	8/15/2011	10+ Miles	Portland
11217	Natalie	Adams	Natalie Adams	Female	6592 Bent Tree Lane	8/10/2011	10+ Miles	Portland
11218	Olivia	Brown	Olivia Brown	Female	3964 Stony Hill Circle	2/28/2013	2-5 Miles	Tacoma
11219	Charles	Cook	Charles Cook	Male	6871 Bel Air Dr.	10/29/2013	10+ Miles	Woodburn
11220	Erica	Huang	Erica Huang	Female	9142 All Ways Drive	3/14/2013	10+ Miles	Colma
11221	Nathan	Perry	Nathan Perry	Male	9714 Nicholas Drive	4/7/2013	1-2 Miles	Lakewood
11222	Alexandra	Rivera	Alexandra Rivera	Female	4999 Corte Segunda	11/1/2013	1-2 Miles	Santa Monica
11223	Hailey	Patterson	Hailey Patterson	Female	5045 Vancouver Way	1/29/2013	2-5 Miles	Langley
11224	Tiffany	Li	Tiffany Li	Female	6404 Del Mar Ave	8/7/2011	10+ Miles	Burien
11225	Madison	Lee	Madison Lee	Female	5927 Seaview Avenue	6/22/2013	10+ Miles	Renton
11226	Sydney	Ross	Sydney Ross	Female	5252 Santa Fe	2/21/2013	2-5 Miles	W. Linn
11227	Marshall	Chavez	Marshall Chavez	Male	9022 Estudillo Street	8/3/2011	10+ Miles	Colma
11228	Ashley	Jones	Ashley Jones	Female	7681 Willow Pass Road	10/25/2013	10+ Miles	El Cajon
11229	Adrian	Stewart	Adrian Stewart	Male	6898 Shaw Rd.	7/27/2013	10+ Miles	Redwood City
11230	Amber	Turner	Amber Turner	Female	6345 Ridge Circle	7/16/2013	2-5 Miles	Santa Monica
11231	Dennis	Zhang	Dennis Zhang	Male	3951 Calle Verde Drive	2/10/2013	10+ Miles	Bremerton
11232	Hailey	Bryant	Hailey Bryant	Female	2828 Rogers Ave.	9/20/2013	2-5 Miles	Everett
11233	Todd	Li	Todd Li	Male	5897 Scottsdale Rd.	2/8/2013	10+ Miles	Berkeley
11234	Anna	Griffin	Anna Griffin	Female	7221 Peachwillow Street	2/8/2013	10+ Miles	Long Beach
11235	Angel	Stewart	Angel Stewart	Male	2585 La Salle Ct.	7/4/2013	10+ Miles	Ballard
11236	Jeremy	Butler	Jeremy Butler	Male	8811 The Trees Dr.	10/3/2013	10+ Miles	Bellingham
11237	Clarence	Anand	Clarence Anand	Male	Welt Platz 6	9/5/2011	0-1 Miles	Solingen
11238	Mayra	Prasad	Mayra Prasad	Female	1119 Elderwood Dr.	1/6/2011	0-1 Miles	Birmingham
11239	Latoya	Goel	Latoya Goel	Female	8154 Pheasant Circle	1/19/2011	5-10 Miles	London
11240	Anne	Hernandez	Anne Hernandez	Female	76 Woodcrest Dr.	2/27/2011	5-10 Miles	Watford
11241	Lisa	Cai	Lisa Cai	Female	"102, rue de Berri"	9/10/2012	5-10 Miles	Les Ulis
11242	Larry	Munoz	Larry Munoz	Male	Midi-Couleurs	9/19/2012	5-10 Miles	Versailles
11243	Robin	Alvarez	Robin Alvarez	Female	4086 Emmons Canyon Lane	2/21/2011	0-1 Miles	Esher-Molesey
11244	Alexis	Coleman	Alexis Coleman	Female	7140 Camelback Road	2/12/2011	0-1 Miles	Runcorn
11245	Ricky	Vazquez	Ricky Vazquez	Male	Roßstr 9928	9/26/2011	5-10 Miles	Hamburg
11246	Latasha	Rubio	Latasha Rubio	Female	Alderstr 7690	10/3/2011	5-10 Miles	Hamburg
11247	Claudia	Zhou	Claudia Zhou	Female	6516 Beauer Lane	2/18/2011	0-1 Miles	Lancaster
11248	Tristan	Alexander	Tristan Alexander	Male	"88, avenue des Champs-Elysées"	7/14/2013	10+ Miles	Saint-Denis
